Дашборд: Tаблица 3-1-1-1-1-1-5
;СУДАК;;ЩУКА;;ГОЛАВЛЬ;;ОКУНЬ;;ЖЕРЕХ;;ПЛОТВА;;КРАСНОПЁРКА;;УКЛЕЙКА;;ЁРШ;;ПЕСКАРЬ;
;169;;194;;27;;2088;;2;;73;;12;;13;;100;;1;
;3600 гр.;;2455 гр.;;1280 гр.;;950 гр.;;910 гр.;;350 гр.;;200 гр.;;65 гр.;;55 гр.;;35 гр.;

Дашборд: Tаблица 1-1
2 679
Общий улов шт.

Дашборд: Средний улов за выезд шт.
6

Дашборд: Максимальный улов шт.
90

Дашборд: Рыбалок
456

Дашборд: Tаблица 1-2
1
2
3
4
5
6
7
8
9
10

Данные: Справочник
Synchrony №2.5 (5г) #T01-009;Grows Culture;Блёсны;Вращающиеся блёсны;
Synchrony №3.5 (8г) #T01-015;Grows Culture;Блёсны;Вращающиеся блёсны;
Rigge 43SP (4.3г) 1м #17;Grows Culture;Воблеры;Минноу;
Rigge 70SP (5.5г) #821R;Grows Culture;Воблеры;Минноу;
Car VIB 70S (14г) #04;Grows Culture;Воблеры;Вибы;
Whip Hot 75S (18г) #13;Grows Culture;Воблеры;Вибы;
Will'Mans 57мм (7г) #032/A;Grows Culture;Блёсны;Колеблющиеся блёсны;
Calibra 75S (16.5г) #070R;Grows Culture;Воблеры;Раттлины;
Crack №0 (3г) #Oro;Heron;Блёсны;Вращающиеся блёсны;
Crack №1 (3.5г) #Arg/Black;Heron;Блёсны;Вращающиеся блёсны;
Crack №2 (5г) #Oro;Heron;Блёсны;Вращающиеся блёсны;
Lucciola №2 (4г) #Arg/Black;Heron;Блёсны;Вращающиеся блёсны;
Chubby 38F (4г) 1м #MattPink;Jackall;Воблеры;Крэнки;
Colt Minnow 80SP (6.2г) 1.3м #HL Gold&Black;Jackall;Воблеры;Минноу;
Squad Minnow 80SP (9.7г) 1.2м #GhostGPerch;Jackall;Воблеры;Минноу;
Magallon 115SP (13.7г) 1м #Dragon Fruit;Jackall;Воблеры;Минноу;
Magsquad 115SP (16г) 1.2м #Tennessee Shad;Jackall;Воблеры;Минноу;
Smash Minnow 100SP (16.6г) 0.8м #Mat Tiger;Jackall;Воблеры;Минноу;
Smash Minnow 100SP (16.6г) 0.8м #HL Silver&Black;Jackall;Воблеры;Минноу;
Tiny Fry 38SP (1.5г) 0.6м #Mat Tiger;Jackall;Воблеры;Минноу;
Dead Float 80SF (8г) 0.5м #HSB;Jackson;Воблеры;Минноу;
Artist FR105SP (12.7г) 0.8м #BO;Jackson;Воблеры;Минноу;
Swing Impact 4 #PAL08;Keitech;Силиконовые приманки;Виброхвосты;
Easy Shiner 3 #404;Keitech;Силиконовые приманки;Виброхвосты;
Easy Shiner 3.5 #410;Keitech;Силиконовые приманки;Виброхвосты;
Easy Shiner 4 #11;Keitech;Силиконовые приманки;Виброхвосты;
Awaruna 3.5 #BCH;Kosadaka;Силиконовые приманки;Виброхвосты;
Buggy 2 #CS;Kosadaka;Силиконовые приманки;Виброхвосты;
Buggy 2 #MO;Kosadaka;Силиконовые приманки;Виброхвосты;
BugSY 1.6 #OT;Kosadaka;Силиконовые приманки;Личинки;
Grav Spoon 35мм (6г) #GRV-06S;Kosadaka;Блёсны;Колеблющиеся блёсны;
Bonga W77F (8.6г) #RHT;Kosadaka;Воблеры;Уокеры;
Cocoon XS 32F (2.2г) #B09;Kosadaka;Воблеры;Крэнки;
Hauki 80мм (22г) #R/Ye/S-S;Kuusamo;Блёсны;Колеблющиеся блёсны;
Sammy 65F 250 (5.8г) #Wakasagi;Lucky Craft;Воблеры;Уокеры;
Wobty 61F (10.5г) 1.2м #Black Gold;Lucky Craft;Воблеры;Шэды;
Baby Rockfish 1.4 #085;Lucky John;Силиконовые приманки;Виброхвосты;
Baby Rockfish 1.4 #PA03;Lucky John;Силиконовые приманки;Виброхвосты;
Ballist 2.5 #F05;Lucky John;Силиконовые приманки;Твистеры;
Ballist 2.5 #F08;Lucky John;Силиконовые приманки;Твистеры;
Ballist 2.5 #PA16;Lucky John;Силиконовые приманки;Твистеры;
Bugsy Shad 2.8 #PA03;Lucky John;Силиконовые приманки;Виброхвосты;
Flat Minnow100F (16г) 1.8м #S15;Lucky John;Воблеры;Минноу;
Zuban 7060 35S (7г) #39;Lucky John;Балансиры;Балансиры;
Impact Shad 3 #X008;Lucky John;Силиконовые приманки;Виброхвосты;
Minnow 3.3 #085;Lucky John;Силиконовые приманки;Виброхвосты;
Nayada 2 #033;Lucky John;Силиконовые приманки;Личинки;
Rock Craw 2 #S21;Lucky John;Силиконовые приманки;Раки;
Slim Shaker 4 #T56;Lucky John;Силиконовые приманки;Виброхвосты;
Spark Tail 2 #085;Lucky John;Силиконовые приманки;Виброхвосты;
Spark Tail 3 #033;Lucky John;Силиконовые приманки;Виброхвосты;
Spark Tail 3 #071;Lucky John;Силиконовые приманки;Виброхвосты;
Spark Tail 3 #PA03;Lucky John;Силиконовые приманки;Виброхвосты;
Spark Tail 3 #PA19;Lucky John;Силиконовые приманки;Виброхвосты;
Hogy Shrimp 3.5 #S15;Lucky John;Силиконовые приманки;Раки;
Tioga 2 #085;Lucky John;Силиконовые приманки;Виброхвосты;
Tioga 2 #F08;Lucky John;Силиконовые приманки;Виброхвосты;
Tioga 2 #PA03;Lucky John;Силиконовые приманки;Виброхвосты;
Tioga 2.4 #085;Lucky John;Силиконовые приманки;Виброхвосты;
Tioga 2.4 #F08;Lucky John;Силиконовые приманки;Виброхвосты;
